Entity,Entity_Type,Type_Meaning,Start_Char,End_Char,Context
Norway,GPE,"Countries, cities, states",11,17,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
Norway,GPE,"Countries, cities, states",37,43,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
the United States,GPE,"Countries, cities, states",68,85,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
Nazi,NORP,Nationalities or religious or political groups,108,112,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
European,NORP,Nationalities or religious or political groups,164,172,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
Friday,DATE,Absolute or relative dates or periods,221,227,"STAVANGER, Norway - King Harald V of Norway, who went into exile in the United States as a child during the Nazi occupation of his homeland and refused a str..."
89,DATE,Absolute or relative dates or periods,236,238,He was 89.
the National Hospital,ORG,"Companies, agencies, institutions, etc.",268,289,The palace said he died at the National Hospital in Oslo at 6:35 a.m.  Harald was Europe's oldest monarch.
Oslo,GPE,"Countries, cities, states",293,297,The palace said he died at the National Hospital in Oslo at 6:35 a.m.  Harald was Europe's oldest monarch.
6:35 a.m.,TIME,Times smaller than a day,301,310,The palace said he died at the National Hospital in Oslo at 6:35 a.m.  Harald was Europe's oldest monarch.
Harald,PERSON,"People, including fictional",312,318,The palace said he died at the National Hospital in Oslo at 6:35 a.m.  Harald was Europe's oldest monarch.
Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water",323,329,The palace said he died at the National Hospital in Oslo at 6:35 a.m.  Harald was Europe's oldest monarch.
King Haakon VIII,FAC,"Buildings, airports, highways, bridges, etc.",520,536,His son automatically became King Haakon VIII.
Europe,LOC,"Non-GPE locations, mountain ranges, bodies of water",566,572,"Like other royal houses in Europe, the Norwegian monarchs serve a largely symbolic role, enjoying celebrity status while real power in the democracy of 5.5 m..."
Norwegian,NORP,Nationalities or religious or political groups,578,587,"Like other royal houses in Europe, the Norwegian monarchs serve a largely symbolic role, enjoying celebrity status while real power in the democracy of 5.5 m..."
5.5 million,CARDINAL,Numerals that do not fall under another type,691,702,"Like other royal houses in Europe, the Norwegian monarchs serve a largely symbolic role, enjoying celebrity status while real power in the democracy of 5.5 m..."
Harald,PERSON,"People, including fictional",737,743,"Harald was crowned after his British-born father, King Olav V, died in January 1991, and reigned during an oil-and-gas-driven economic boom in his country."
British,NORP,Nationalities or religious or political groups,766,773,"Harald was crowned after his British-born father, King Olav V, died in January 1991, and reigned during an oil-and-gas-driven economic boom in his country."
January 1991,DATE,Absolute or relative dates or periods,808,820,"Harald was crowned after his British-born father, King Olav V, died in January 1991, and reigned during an oil-and-gas-driven economic boom in his country."
Royal,PERSON,"People, including fictional",894,899,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Norway,GPE,"Countries, cities, states",912,918,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
World War II,EVENT,"Named hurricanes, battles, wars, sports events, etc.",926,938,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Harald,PERSON,"People, including fictional",940,946,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
1937,DATE,Absolute or relative dates or periods,959,963,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Asker,GPE,"Countries, cities, states",967,972,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Oslo,GPE,"Countries, cities, states",979,983,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
first,ORDINAL,"""first"", ""second"", etc.",998,1003,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Norwegian,NORP,Nationalities or religious or political groups,1004,1013,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
Olav IV,PERSON,"People, including fictional",1058,1065,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
1370,DATE,Absolute or relative dates or periods,1069,1073,"Royal family fled Norway during World War II  Harald was born in 1937 in Asker, near Oslo, becoming the first Norwegian prince to be born in the country sinc..."
the following centuries,DATE,Absolute or relative dates or periods,1078,1101,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
Norway,GPE,"Countries, cities, states",1103,1109,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
Harald,PERSON,"People, including fictional",1146,1152,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
1905,DATE,Absolute or relative dates or periods,1211,1215,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
Sweden,GPE,"Countries, cities, states",1249,1255,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
Norway,GPE,"Countries, cities, states",1260,1266,"In the following centuries, Norway didn't have a king of its own until Harald's grandfather, Haakon VII, was elected king following the 1905 dissolution of t..."
Harald,PERSON,"People, including fictional",1269,1275,Harald was 3 years old when the Nazis occupied Norway at the start of World War II.
3 years old,DATE,Absolute or relative dates or periods,1280,1291,Harald was 3 years old when the Nazis occupied Norway at the start of World War II.
Nazis,NORP,Nationalities or religious or political groups,1301,1306,Harald was 3 years old when the Nazis occupied Norway at the start of World War II.
Norway,GPE,"Countries, cities, states",1316,1322,Harald was 3 years old when the Nazis occupied Norway at the start of World War II.
World War II,EVENT,"Named hurricanes, battles, wars, sports events, etc.",1339,1351,Harald was 3 years old when the Nazis occupied Norway at the start of World War II.
